"mpg","milage","maketype","car_id","region","year","price","make","type"
23.7,12000,"Ford Fiesta 1,0 EcoBoost mHEV ST-Line 5d",5624333,"Østjylland",2021,214800,"Ford","Fiesta"
28.9,37000,"Toyota Aygo 1,0 VVT-i x-clusiv 5d",5611482,"Vestjylland",2019,99900,"Toyota","Aygo"
21.2,50,"Ford Puma 1,0 EcoBoost mHEV ST-Line DCT 5d",5499147,"Vestjylland",2022,324900,"Ford","Puma"
21.3,130000,"Ford Focus 1,0 SCTi 125 Titanium 5d",5494056,"Østjylland",2015,109900,"Ford","Focus"
19.3,60000,"Ford C-MAX 1,0 SCTi 125 Titanium+ 5d",5538814,"Østjylland",2018,183990,"Ford","C-MAX"
20.4,100000,"Toyota Yaris 1,3 VVT-i T2 5d",5589568,"Fyn",2017,114800,"Toyota","Yaris"
24.2,6000,"Ford Fiesta 1,0 EcoBoost mHEV ST-Line 5d",5604979,"Syd- og Sønderjylland",2022,219900,"Ford","Fiesta"
15.6,180000,"Ford Focus 1,6 Ti-VCT 125 Titanium aut. 5d",5626516,"Syd- og Vestsjælland",2012,73300,"Ford","Focus"
11.9,274000,"Ford Focus 1,6 Trend stc. 5d",5552614,"Nordjylland",2002,19900,"Ford","Focus"
13,273000,"Toyota Corolla Verso 1,8 Terra 7prs 5d",5447183,"Nordjylland",2005,29900,"Toyota","Corolla"
20.8,177000,"Ford Focus 1,0 SCTi 125 Titanium stc. 5d",5566873,"Syd- og Sønderjylland",2016,102250,"Ford","Focus"
14.7,65000,"Ford Galaxy 1,5 EcoBoost Trend 5d",5609334,"Syd- og Sønderjylland",2019,314900,"Ford","Galaxy"
23.7,7500,"Ford Fiesta 1,0 EcoBoost mHEV Titanium 5d",5502909,"Vestjylland",2021,199700,"Ford","Fiesta"
25,46000,"Ford Focus 1,0 EcoBoost Active stc. 5d",5566744,"Syd- og Sønderjylland",2020,249900,"Ford","Focus"
19.6,126000,"Ford C-MAX 1,0 SCTi 125 Titanium 5d",5415875,"Syd- og Vestsjælland",2014,99900,"Ford","C-MAX"
19.3,38000,"Volvo V40 1,5 T3 152 Dynamic Edition aut. 5d",5617246,"Syd- og Sønderjylland",2019,299900,"Volvo","V40"
17.2,62000,"Ford Fiesta 1,4 Titanium 3d",5554872,"Østjylland",2010,69900,"Ford","Fiesta"
19.6,153000,"Toyota Yaris 1,3 TX 5d",5586829,"Syd- og Vestsjælland",2011,39900,"Toyota","Yaris"
18.5,130000,"Toyota Yaris 1,3 VVT-i T2 5d",5620585,"Nordsjælland",2011,64900,"Toyota","Yaris"
15.9,128000,"Ford Mondeo 1,5 SCTi 160 Titanium aut. 5d",5630928,"Syd- og Sønderjylland",2016,124900,"Ford","Mondeo"
12.7,122000,"Ford Fiesta 2,5 Trend 5d",5592299,"Syd- og Sønderjylland",2022,9900,"Ford","Fiesta"
23.3,243000,"Ford Transit 1,8 3d",5563666,"Syd- og Vestsjælland",2001,24900,"Ford","Transit"
